Name,Image,tags
"Redmi Note 8 Pro (Shadow Black, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio g90t processor redmi note 8 pro (shadow black, 128 gb)"
"Redmi Note 9 Pro Max (Glacier White, 128 GB)",https://rukminim1.flixcart.com/image/312/312/kabe9ow0/mobile/q/c/b/mi-redmi-note-9-pro-max-b07hgh8jsw-original-imafrwq2qjnxzxth.jpeg?q=70,"qualcomm snapdragon 720g processor redmi note 9 pro max (glacier white, 128 gb)"
"OPPO A9 2020 (Marine Green, 128 GB)",https://rukminim1.flixcart.com/image/312/312/k51cpe80pkrrdj/mobile/z/y/h/oppo-a9-2020-cph1937-original-imafkhhxh2vsxnmq.jpeg?q=70,"qualcomm snapdragon 665 processor oppo a9 2020 (marin green, 128 gb)"
"Samsung Galaxy A51 (Prism Crush Blue, 128 GB)",https://rukminim1.flixcart.com/image/312/312/k62i5jk0/mobile/c/n/s/samsung-galaxy-a51-sm-a515fzbhins-original-imafzhr4cqc4wqnf.jpeg?q=70,"exyno 9611 processor samsung galaxi a51 (prism crush blue, 128 gb)"
"OPPO F17 Pro (Magic Blue, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio p95 processor oppo f17 pro (magic blue, 128 gb)"
"Realme 5 Pro (Crystal Green, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon sdm712 octa core 2.3 ghz processor realm 5 pro (crystal green, 128 gb)"
"Realme 5 Pro (Sparkling Blue, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon sdm712 octa core 2.3 ghz processor realm 5 pro (sparkl blue, 128 gb)"
"Realme 5 Pro (Crystal Green, 64 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon sdm712 octa core 2.3 ghz processor realm 5 pro (crystal green, 64 gb)"
"OPPO F15 (Unicorn White, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio p70 processor oppo f15 (unicorn white, 128 gb)"
"OPPO F15 (Unicorn White, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio p70 processor oppo f15 (unicorn white, 128 gb)"
"OPPO F15 (Lightening Black, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio p70 processor oppo f15 (lighten black, 128 gb)"
"OPPO F15 (Blazing Blue, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio p70 processor oppo f15 (blaze blue, 128 gb)"
"Realme XT (Pearl Blue, 64 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm 712 processor realm xt (pearl blue, 64 gb)"
"OPPO A9 2020 (Vanilla Mint, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon 665 processor oppo a9 2020 (vanilla mint, 128 gb)"
"Realme 5 (Crystal Purple, 64 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon 665 2 ghz processor realm 5 (crystal purple, 64 gb)"
"Samsung Galaxy M31 (Ocean Blue, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"samsung exyno 9 octa 9611 processor samsung galaxi m31 (ocean blue, 128 gb)"
"Samsung Galaxy A21s (White, 64 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"exyno 850 octa core processor samsung galaxi a21 (white, 64 gb)"
"Samsung Galaxy A21s (Blue, 64 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"exyno 850 octa core processor samsung galaxi a21 (blue, 64 gb)"
"Samsung Galaxy A21s (Black, 64 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"exyno 850 octa core processor samsung galaxi a21 (black, 64 gb)"
"Redmi Note 9 Pro (Champagne Gold, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm® snapdragon™ 720g processor redmi note 9 pro (champagn gold, 128 gb)"
"Realme 6 Pro (Lightning Blue, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"snapdragon 720g processor realm 6 pro (lightn blue, 128 gb)"
"Vivo V19 (Piano Black, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon 712 aie processor vivo v19 (piano black, 128 gb)"
"OPPO F15 (Lightening Black, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio p70 processor oppo f15 (lighten black, 128 gb)"
"Samsung Galaxy A31 (Prism Crush Blue, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek (mt6768) octa core processor samsung galaxi a31 (prism crush blue, 128 gb)"
"Realme 5 Pro (Chroma White, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon sdm712 octa core 2.3 ghz processor realm 5 pro (chroma white, 128 gb)"
"Redmi Note 9 Pro (Aurora Blue, 64 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm® snapdragon™ 720g processor redmi note 9 pro (aurora blue, 64 gb)"
"Samsung Galaxy A51 (Prism Crush White, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"exyno 9611 processor samsung galaxi a51 (prism crush white, 128 gb)"
"Redmi Note 9 Pro (Glacier White, 128 GB)",https://rukminim1.flixcart.com/image/312/312/kcdp5zk0/mobile/6/e/k/mi-redmi-note-9-pro-mzb9105in-original-imaftgy6gwe9vnqr.jpeg?q=70,"qualcomm® snapdragon™ 720g processor redmi note 9 pro (glacier white, 128 gb)"
"Samsung Galaxy A31 (Prism Crush White, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek (mt6768) octa core processor samsung galaxi a31 (prism crush white, 128 gb)"
"Samsung Galaxy A51 (Haze Crush Silver, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"exyno 9611 processor samsung galaxi a51 (haze crush silver, 128 gb)"
"Realme 6 (Comet Blue, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio g90t processor realm 6 (comet blue, 128 gb)"
"Samsung Galaxy A51 (Prism Crush Black, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"exyno 9611 processor samsung galaxi a51 (prism crush black, 128 gb)"
"Vivo V19 (Mystic Silver, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon 712 aie processor vivo v19 (mystic silver, 128 gb)"
"Vivo V19 (Mystic Silver, 256 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon 712 aie processor vivo v19 (mystic silver, 256 gb)"
"OPPO Reno3 Pro (Auroral Blue, 256 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio p95 processor oppo reno3 pro (auror blue, 256 gb)"
"OPPO F15 (Blazing Blue, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio p70 processor oppo f15 (blaze blue, 128 gb)"
"OPPO A9 2020 (Space Purple, 128 GB)",https://rukminim1.flixcart.com/image/312/312/k51cpe80pkrrdj/mobile/j/t/c/oppo-a9-2020-cph1937-original-imafkhhxczz79agw.jpeg?q=70,"qualcomm snapdragon 665 processor oppo a9 2020 (space purple, 128 gb)"
"Samsung Galaxy A51 (Prism Crush Blue, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"exyno 9611 processor samsung galaxi a51 (prism crush blue, 128 gb)"
"Realme 6 (Comet White, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio g90t processor realm 6 (comet white, 128 gb)"
"Realme XT (Pearl White, 64 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm 712 processor realm xt (pearl white, 64 gb)"
"Redmi Note 8 (Moonlight White, 64 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon 665 processor redmi note 8 (moonlight white, 64 gb)"
"Samsung Galaxy A71 (Prism Crush Blue, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm sm7150 processor samsung galaxi a71 (prism crush blue, 128 gb)"
"OPPO Reno2 Z (Luminous Black, 256 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio p90 processor oppo reno2 z (lumin black, 256 gb)"
"Samsung Galaxy A71 (Prism Crush Black, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm sm7150 processor samsung galaxi a71 (prism crush black, 128 gb)"
"Samsung Galaxy A71 (Haze Crush Silver, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm sm7150 processor samsung galaxi a71 (haze crush silver, 128 gb)"
"Redmi Note 8 Pro (Halo White, 64 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio g90t processor redmi note 8 pro (halo white, 64 gb)"
"Redmi Note 9 Pro Max (Interstellar Black, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon 720g processor redmi note 9 pro max (interstellar black, 128 gb)"
"Redmi Note 8 Pro (Halo White, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio g90t processor redmi note 8 pro (halo white, 128 gb)"
"OPPO Reno2 (Luminous Black, 256 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon 730g processor oppo reno2 (lumin black, 256 gb)"
"OPPO Reno2 (Ocean Blue, 256 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon 730g processor oppo reno2 (ocean blue, 256 gb)"
"Redmi Note 8 Pro (Shadow Black, 64 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio g90t processor redmi note 8 pro (shadow black, 64 gb)"
"Samsung Galaxy M31 (Ocean Blue, 64 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"samsung exyno 9 octa 9611 processor samsung galaxi m31 (ocean blue, 64 gb)"
"OPPO Reno4 Pro (Starry Night, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon 720g octa core processor oppo reno4 pro (starri night, 128 gb)"
"Samsung Galaxy A51 (Prism Crush Black, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"exyno 9611 processor samsung galaxi a51 (prism crush black, 128 gb)"
"Realme XT (Pearl Blue, 64 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm 712 processor realm xt (pearl blue, 64 gb)"
"OPPO A52 (Twilight Black, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon 665 processor oppo a52 (twilight black, 128 gb)"
"OPPO A52 (Stream White, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon 665 processor oppo a52 (stream white, 128 gb)"
"Redmi Note 8 (Cosmic Purple, 64 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon 665 processor redmi note 8 (cosmic purple, 64 gb)"
"OPPO Reno4 Pro (Silky White, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon 720g octa core processor oppo reno4 pro (silki white, 128 gb)"
"Redmi Note 9 Pro (Champagne Gold, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm® snapdragon™ 720g processor redmi note 9 pro (champagn gold, 128 gb)"
"Redmi Note 8 (Moonlight White, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon 665 processor redmi note 8 (moonlight white, 128 gb)"
"OPPO Reno3 Pro (Midnight Black, 256 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio p95 processor oppo reno3 pro (midnight black, 256 gb)"
"OPPO Reno3 Pro (Auroral Blue, 128 GB)",https://rukminim1.flixcart.com/image/312/312/k79dd3k0/mobile/z/p/h/oppo-reno3-pro-cph2035-original-imafpj4fgfrzskf3.jpeg?q=70,"mediatek helio p95 processor oppo reno3 pro (auror blue, 128 gb)"
"OPPO Reno3 Pro (Midnight Black, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio p95 processor oppo reno3 pro (midnight black, 128 gb)"
"Vivo V17 (Midnight Ocean Black, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon 675aie processor vivo v17 (midnight ocean black, 128 gb)"
"Samsung Galaxy A51 (Prism Crush White, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"exyno 9611 processor samsung galaxi a51 (prism crush white, 128 gb)"
"Vivo V17 (Glacier ice white, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon 675aie processor vivo v17 (glacier ice white, 128 gb)"
"Samsung Galaxy A21s (Black, 64 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"exyno 850 octa core processor samsung galaxi a21 (black, 64 gb)"
"OPPO Reno4 Pro Special Edition (Galactic Blue, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon 720g octa core processor oppo reno4 pro special edit (galact blue, 128 gb)"
"OPPO A9 2020 (Vanilla Mint, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon 665 processor oppo a9 2020 (vanilla mint, 128 gb)"
"Samsung Galaxy A51 (Haze Crush Silver, 128 GB)",https://rukminim1.flixcart.com/image/312/312/kcuug7k0/mobile/x/u/q/samsung-galaxy-a51-sm-a515fmswins-original-imaftw9cecyhye7d.jpeg?q=70,"exyno 9611 processor samsung galaxi a51 (haze crush silver, 128 gb)"
"OPPO Reno2 Z (Sky White, 256 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio p90 processor oppo reno2 z (ski white, 256 gb)"
"Samsung Galaxy A21s (White, 64 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"exyno 850 octa core processor samsung galaxi a21 (white, 64 gb)"
"OPPO Reno3 Pro (Sky White, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio p95 processor oppo reno3 pro (ski white, 128 gb)"
"Samsung Galaxy M31 (Space Black, 64 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"samsung exyno 9 octa 9611 processor samsung galaxi m31 (space black, 64 gb)"
"Lenovo Z6 Pro (Black, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm sdm855 processor lenovo z6 pro (black, 128 gb)"
"Samsung Galaxy A71 (Prism Crush Silver, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm sm7150 processor samsung galaxi a71 (prism crush silver, 128 gb)"
"Samsung Galaxy M30s (Black, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"exyno 9611 processor samsung galaxi m30 (black, 128 gb)"
